Year,Chamber,Geography,Democrat,Republican,WAR,Sortable
2024,House,PA-11,Jim Atkinson,Lloyd Smucker,D+1.1,-1.1
2024,House,PA-12,Summer Lee,James Hayes,R+7.8,7.8
2024,House,PA-13,Beth Farnham,John Joyce,R+0.1,0.1
2024,House,PA-14,Christopher Dziados,Guy Reschenthaler,D+4,-4
2024,House,PA-15,Zacheray Womer,Glenn Thompson,R+1.4,1.4
2024,House,PA-16,Preston Nouri,Mike Kelly,R+0.7,0.7
2024,House,PA-17,Chris Deluzio,Rob Mercuri,D+1.8,-1.8
2024,House,RI-01,Gabe Amo,Allen Waters,D+6.3,-6.3
2024,House,RI-02,Seth Magaziner,Steve Corvi,D+5.8,-5.8
2024,House,SC-01,Michael Moore,Nancy Mace,D+1.1,-1.1
2024,House,SC-02,David Robinson,Joe Wilson,R+1.1,1.1
2024,House,SC-03,Byron Best,Sheri Biggs,R+4.7,4.7
2024,House,SC-04,Kathryn Harvey,William Timmons,D+4.4,-4.4
2024,House,SC-05,Evangeline Hundley,Ralph Norman,R+0.4,0.4
2024,House,SC-06,Jim Clyburn,Duke Buckner,R+3,3
2024,House,SC-07,Mal Hyman,Russell Fry,R+1.4,1.4
2024,House,SD-AL,Sheryl Johnson,Dusty Johnson,R+9.9,9.9
2024,House,TN-01,Kevin Jenkins,Diana Harshbarger,D+0.5,-0.5
2024,House,TN-02,Jane George,Tim Burchett,R+1.5,1.5
2024,House,TN-03,Jack Allen,Chuck Fleischmann,D+0.6,-0.6
2024,House,TN-04,Victoria Broderick,Scott DesJarlais,D+1,-1
2024,House,TN-05,Maryam Abolfazli,Andy Ogles,D+3.9,-3.9
2024,House,TN-06,Lore Bergman,John Rose,D+1.5,-1.5
2024,House,TN-07,Megan Barry,Mark Green,D+3.6,-3.6
2024,House,TN-08,Sarah Freeman,David Kustoff,R+1.8,1.8
2024,House,TN-09,Steve Cohen,Charlotte Bergmann,D+1.1,-1.1
2024,House,TX-02,Peter Filler,Dan Crenshaw,R+0.7,0.7
2024,House,TX-03,Sandeep Srivastava,Keith Self,R+1,1
2024,House,TX-04,Simon Cardell,Pat Fallon,R+0.5,0.5
2024,House,TX-05,Ruth Torres,Lance Gooden,D+2.3,-2.3
2024,House,TX-06,John Love III,Jake Ellzey,D+2.1,-2.1
2024,House,TX-07,Lizzie Fletcher,Caroline Kane,R+2.5,2.5
2024,House,TX-08,Laura Jones,Morgan Luttrell,D+2,-2
2024,House,TX-10,Theresa Boisseau,Michael McCaul,R+0.8,0.8
2024,House,TX-12,Trey Hunt,Craig Goldman,R+2.2,2.2
2024,House,TX-14,Rhonda Hart,Randy Weber,D+0.5,-0.5
2024,House,TX-15,Michelle Vallejo,Monica De La Cruz,D+5.6,-5.6
2024,House,TX-16,Veronica Escobar,Irene Armendariz-Jackson,R+4,4
2024,House,TX-17,Mark Lorenzen,Pete Sessions,R+0.7,0.7
2024,House,TX-18,Sylvester Turner,Lana Centonze,R+1.4,1.4
2024,House,TX-21,Kristin Hook,Chip Roy,D+2.6,-2.6
2024,House,TX-22,Marquette Greene-Scott,Troy Nehls,R+0.2,0.2
2024,House,TX-23,Santos Limon,Tony Gonzales,R+4.2,4.2
2024,House,TX-24,Sam Eppler,Beth Van Duyne,D+0,0
2024,House,TX-26,Ernest Lineberger III,Brandon Gill,R+1.8,1.8
2024,House,TX-27,Tanya Lloyd,Michael Cloud,D+0.8,-0.8
2024,House,TX-28,Henry Cuellar,Jay Furman,D+8.3,-8.3
2024,House,TX-29,Sylvia Garcia,Alan Garza,D+4.7,-4.7
2024,House,TX-31,Stuart Whitlow,John Carter,R+1.2,1.2
2024,House,TX-32,Julie Johnson,Darrell Day,R+1.7,1.7
2024,House,TX-33,Marc Veasey,Patrick Gillespie,R+4.2,4.2
2024,House,TX-34,Vicente Gonzalez,Mayra Flores,D+1.3,-1.3
2024,House,TX-35,Greg Casar,Steven Wright,R+3.9,3.9
2024,House,TX-36,Dayna Steele,Brian Babin,D+1.8,-1.8
2024,House,TX-37,Lloyd Doggett,Jenny Garcia Sharon,D+0.7,-0.7
2024,House,TX-38,Melissa McDonough,Wesley Hunt,D+1.4,-1.4
2024,House,UT-01,Bill Campbell,Blake Moore,R+5.4,5.4
2024,House,UT-02,Nathaniel Woodward,Celeste Maloy,D+0.4,-0.4
2024,House,UT-03,Glenn Wright,Mike Kennedy,R+10.5,10.5
2024,House,UT-04,Katrina Fallick-Wang,Burgess Owens,R+2.9,2.9
2024,House,VT-AL,Becca Balint,Mark Coester,D+0.3,-0.3
2024,House,VA-01,Leslie Mehta,Rob Wittman,R+0.7,0.7
2024,House,VA-02,Missy Cotter Smasal,Jen Kiggans,D+1.1,-1.1
2024,House,VA-03,Bobby Scott,John Sitka,D+3.2,-3.2
2024,House,VA-04,Jennifer McClellan,Bill Moher,R+0.9,0.9
2024,House,VA-05,Gloria Witt,John McGuire,R+1.8,1.8
2024,House,VA-06,Ken Mitchell,Ben Cline,R+1.1,1.1
2024,House,VA-07,Eugene Vindman,Derrick Anderson,D+1.2,-1.2
2024,House,VA-08,Don Beyer,Heerak Christian Kim,R+3.8,3.8
