district_id,incumbent_2025,incumbent_party,pvi_string,pvi_numeric,is_open_seat,retirement_reason,war,generic_ballot,predicted_margin,predicted_winner,d_win_pct,r_win_pct,race_rating,potential_flip,sim_avg_margin,sim_margin_std
CA-21,Jim Costa,D,D+10,10.0,False,,5.4,6.6,8.55,D,95.4,4.6,Likely D,False,8.55,5.27
CA-23,Jay Obernolte,R,R+9,-9.0,False,,0.5,6.6,-8.55,R,5.9,94.1,Likely R,False,-8.16,5.3
NC-13,Brad Knott,R,R+11,-11.0,False,,-3.5,6.6,-8.56,R,5.7,94.3,Likely R,False,-8.5,5.4
OH-10,Mike Turner,R,R+5,-5.0,False,,8.7,6.6,-8.63,R,6.0,94.0,Likely R,False,-8.67,5.56
MO-05,Emanuel Cleaver,D,R+9,-9.0,False,,0.7,6.6,-8.65,R,5.0,95.0,Likely R,True,-8.83,5.5
WA-10,Marilyn Strickland,D,D+9,9.0,False,,3.1,6.6,8.69,D,96.1,3.9,Likely D,False,8.71,5.22
WA-05,Michael Baumgartner,R,R+5,-5.0,False,,8.9,6.6,-8.73,R,4.8,95.2,Likely R,False,-8.63,5.19
NC-14,Tim Moore,R,R+11,-11.0,False,,-3.0,6.6,-8.82,R,6.0,94.0,Likely R,False,-8.96,5.71
NC-10,Pat Harrigan,R,R+10,-10.0,False,,-0.9,6.6,-8.86,R,5.9,94.1,Likely R,False,-8.83,5.46
NC-08,Mark Harris,R,R+11,-11.0,False,,-2.7,6.6,-8.97,R,4.9,95.1,Likely R,False,-9.03,5.39
CA-26,Julia Brownley,D,D+10,10.0,False,,4.5,6.6,9.01,D,94.9,5.1,Likely D,False,9.14,5.28
MI-01,Jack Bergman,R,R+11,-11.0,False,,-2.6,6.6,-9.02,R,4.2,95.8,Likely R,False,-9.09,5.23
KS-02,Derek Schmidt,R,R+10,-10.0,False,,-0.4,6.6,-9.12,R,3.2,96.8,Likely R,False,-9.14,5.31
TX-32,Julie Johnson,D,R+9,-9.0,False,,1.7,6.6,-9.16,R,4.3,95.7,Likely R,True,-8.99,5.17
CA-51,Sara Jacobs,D,D+10,10.0,False,,4.2,6.6,9.16,D,95.0,5.0,Likely D,False,9.02,5.31
CA-04,Mike Thompson,D,D+9,9.0,False,,2.1,6.6,9.21,D,95.6,4.4,Likely D,False,9.04,5.22
MA-01,Richard Neal,D,D+8,8.0,False,,0.0,6.6,9.25,D,94.9,5.1,Likely D,False,9.18,5.37
